org:resource,lifecycle:transition,time:timestamp,concept:name,case:concept:name
NONE,complete,2013-12-01 08:01:24.772000+00:00,Start Receiver Pre Profiling,trace_0
NONE,complete,2013-12-01 09:01:24.772000+00:00,Receiver Bank Profiling Checking,trace_0
NONE,complete,2013-12-01 10:01:24.772000+00:00,Receiver Inter-Bank Profiling Checking,trace_0
NONE,complete,2013-12-01 11:01:24.772000+00:00,Receiver External Profiling Checking,trace_0
NONE,complete,2013-12-01 12:01:24.772000+00:00,Finish Receiver Pre Profiling,trace_0
NONE,complete,2013-12-01 13:01:24.772000+00:00,Request Extra Pre Profiling,trace_0
NONE,complete,2013-12-01 14:01:24.772000+00:00,Start Receiver Pre Profiling,trace_0
NONE,complete,2013-12-01 15:01:24.772000+00:00,Receiver Inter-Bank Profiling Checking,trace_0
NONE,complete,2013-12-01 16:01:24.772000+00:00,Receiver External Profiling Checking,trace_0
NONE,complete,2013-12-01 17:01:24.772000+00:00,Receiver Bank Profiling Checking,trace_0
NONE,complete,2013-12-01 18:01:24.772000+00:00,Finish Receiver Pre Profiling,trace_0
NONE,complete,2013-12-01 19:01:24.772000+00:00,Request Extra Pre Profiling,trace_0
NONE,complete,2013-12-01 20:01:24.772000+00:00,Start Receiver Pre Profiling,trace_0
NONE,complete,2013-12-01 21:01:24.772000+00:00,Receiver Bank Profiling Checking,trace_0
NONE,complete,2013-12-01 22:01:24.772000+00:00,Receiver Inter-Bank Profiling Checking,trace_0
NONE,complete,2013-12-01 23:01:24.772000+00:00,Receiver External Profiling Checking,trace_0
NONE,complete,2013-12-02 00:01:24.772000+00:00,Finish Receiver Pre Profiling,trace_0
NONE,complete,2013-12-02 01:01:24.772000+00:00,Evaluate Pre Profiling,trace_0
NONE,complete,2013-12-02 02:01:24.772000+00:00,Start Low Risk Receiver Processing,trace_0
NONE,complete,2013-12-02 03:01:24.772000+00:00,Low Risk External Receiver Verification,trace_0
NONE,complete,2013-12-02 04:01:24.772000+00:00,Low Risk Internal Receiver Verification,trace_0
NONE,complete,2013-12-02 05:01:24.772000+00:00,Low Risk Receiver Register,trace_0
NONE,complete,2013-12-02 06:01:24.772000+00:00,Finish Low Risk Receiver Processing,trace_0
NONE,complete,2013-12-02 07:01:24.772000+00:00,Finish Receiver Processing,trace_0
NONE,complete,2013-12-02 08:01:24.772000+00:00,Start Transfer Transaction,trace_0
NONE,complete,2013-12-02 09:01:24.772000+00:00,Start External Transfer,trace_0
NONE,complete,2013-12-02 10:01:24.772000+00:00,Check Destiny Disponibility,trace_0
NONE,complete,2013-12-02 11:01:24.772000+00:00,External Transfer,trace_0
NONE,complete,2013-12-02 12:01:24.772000+00:00,Check External Transfer,trace_0
NONE,complete,2013-12-02 13:01:24.772000+00:00,Register External Transfer,trace_0
NONE,complete,2013-12-02 14:01:24.772000+00:00,Finish External Transfer,trace_0
NONE,complete,2013-12-02 15:01:24.772000+00:00,Finish Transfer Transaction,trace_0
NONE,complete,2013-12-02 16:01:24.772000+00:00,Start Closing,trace_0
NONE,complete,2013-12-02 17:01:24.772000+00:00,Register Transfer Closing,trace_0
NONE,complete,2013-12-02 18:01:24.772000+00:00,Report and Annotate Transfer Closing,trace_0
NONE,complete,2013-12-02 19:01:24.772000+00:00,Start Receipt Processing,trace_0
NONE,complete,2013-12-02 20:01:24.772000+00:00,Paper Receipt,trace_0
NONE,complete,2013-12-02 21:01:24.772000+00:00,Notify Authority Transfer Closing,trace_0
NONE,complete,2013-12-02 22:01:24.772000+00:00,Generate Paper Receipt,trace_0
NONE,complete,2013-12-02 23:01:24.772000+00:00,Finish Receipt Processing,trace_0
NONE,complete,2013-12-03 00:01:24.772000+00:00,Finish Closing,trace_0
NONE,complete,2013-12-03 01:01:24.772000+00:00,Finish Transaction,trace_0
NONE,complete,2013-12-03 02:01:24.772000+00:00,Start Transaction,trace_1
NONE,complete,2013-12-03 03:01:24.772000+00:00,Start Transaction Request Registration,trace_1
NONE,complete,2013-12-03 04:01:24.772000+00:00,Register Request Receiver,trace_1
NONE,complete,2013-12-03 05:01:24.772000+00:00,Register Request Sender,trace_1
NONE,complete,2013-12-03 06:01:24.772000+00:00,Register Request Details,trace_1
NONE,complete,2013-12-03 07:01:24.772000+00:00,Finish Transaction Request Registration,trace_1
NONE,complete,2013-12-03 08:01:24.772000+00:00,Start Sender Authentification,trace_1
NONE,complete,2013-12-03 09:01:24.772000+00:00,Check Sender Bank ID,trace_1
NONE,complete,2013-12-03 10:01:24.772000+00:00,Register Old Client,trace_1
NONE,complete,2013-12-03 11:01:24.772000+00:00,Finish Sender Authentification,trace_1
NONE,complete,2013-12-03 12:01:24.772000+00:00,SPV,trace_1
NONE,complete,2013-12-03 13:01:24.772000+00:00,Start Cheque Payment Processing,trace_1
NONE,complete,2013-12-03 14:01:24.772000+00:00,Automatic Check Authentification,trace_1
NONE,complete,2013-12-03 15:01:24.772000+00:00,Start Cheque Checking,trace_1
NONE,complete,2013-12-03 16:01:24.772000+00:00,Check Authority Cheque Serial Numbers,trace_1
NONE,complete,2013-12-03 17:01:24.772000+00:00,Check Inter-Bank Cheque Serial Numbers,trace_1
NONE,complete,2013-12-03 18:01:24.772000+00:00,Check Bank Cheque Serial Numbers,trace_1
NONE,complete,2013-12-03 19:01:24.772000+00:00,Finish Cheque Checking,trace_1
NONE,complete,2013-12-03 20:01:24.772000+00:00,Process Cheque,trace_1
NONE,complete,2013-12-03 21:01:24.772000+00:00,Emit Cheque Received Receipt,trace_1
NONE,complete,2013-12-03 22:01:24.772000+00:00,Communicate Cheque Receipt Authorities,trace_1
NONE,complete,2013-12-03 23:01:24.772000+00:00,Register Cheque,trace_1
NONE,complete,2013-12-04 00:01:24.772000+00:00,Finish Cheque Payment Processing,trace_1
NONE,complete,2013-12-04 01:01:24.772000+00:00,Finish Payment Processing,trace_1
NONE,complete,2013-12-04 02:01:24.772000+00:00,Start Receiver Processing,trace_1
NONE,complete,2013-12-04 03:01:24.772000+00:00,Start Receiver Pre Profiling,trace_1
NONE,complete,2013-12-04 04:01:24.772000+00:00,Receiver External Profiling Checking,trace_1
NONE,complete,2013-12-04 05:01:24.772000+00:00,Receiver Bank Profiling Checking,trace_1
NONE,complete,2013-12-04 06:01:24.772000+00:00,Receiver Inter-Bank Profiling Checking,trace_1
NONE,complete,2013-12-04 07:01:24.772000+00:00,Finish Receiver Pre Profiling,trace_1
NONE,complete,2013-12-04 08:01:24.772000+00:00,Evaluate Pre Profiling,trace_1
NONE,complete,2013-12-04 09:01:24.772000+00:00,Start Low Risk Receiver Processing,trace_1
NONE,complete,2013-12-04 10:01:24.772000+00:00,Low Risk External Receiver Verification,trace_1
NONE,complete,2013-12-04 11:01:24.772000+00:00,Low Risk Internal Receiver Verification,trace_1
NONE,complete,2013-12-04 12:01:24.772000+00:00,Low Risk Receiver Register,trace_1
NONE,complete,2013-12-04 13:01:24.772000+00:00,Finish Low Risk Receiver Processing,trace_1
NONE,complete,2013-12-04 14:01:24.772000+00:00,Finish Receiver Processing,trace_1
NONE,complete,2013-12-04 15:01:24.772000+00:00,Start Transfer Transaction,trace_1
NONE,complete,2013-12-04 16:01:24.772000+00:00,Start Internal Transfer,trace_1
NONE,complete,2013-12-04 17:01:24.772000+00:00,Check Internal Transfer,trace_1
NONE,complete,2013-12-04 18:01:24.772000+00:00,Register Internal Transfer,trace_1
NONE,complete,2013-12-04 19:01:24.772000+00:00,Finish Internal Transfer,trace_1
NONE,complete,2013-12-04 20:01:24.772000+00:00,Finish Transfer Transaction,trace_1
NONE,complete,2013-12-04 21:01:24.772000+00:00,Start Closing,trace_1
NONE,complete,2013-12-04 22:01:24.772000+00:00,Start Receipt Processing,trace_1
NONE,complete,2013-12-04 23:01:24.772000+00:00,Electronic Receipt,trace_1
NONE,complete,2013-12-05 00:01:24.772000+00:00,Notify Authority Transfer Closing,trace_1
NONE,complete,2013-12-05 01:01:24.772000+00:00,Electronic  Sending Receipt,trace_1
NONE,complete,2013-12-05 02:01:24.772000+00:00,Finish Receipt Processing,trace_1
NONE,complete,2013-12-05 03:01:24.772000+00:00,Register Transfer Closing,trace_1
NONE,complete,2013-12-05 04:01:24.772000+00:00,Finish Closing,trace_1
NONE,complete,2013-12-05 05:01:24.772000+00:00,Finish Transaction,trace_1
NONE,complete,2013-12-05 06:01:24.772000+00:00,Start Transaction,trace_2
NONE,complete,2013-12-05 07:01:24.772000+00:00,Start Transaction Request Registration,trace_2
NONE,complete,2013-12-05 08:01:24.772000+00:00,Register Request Sender,trace_2
NONE,complete,2013-12-05 09:01:24.772000+00:00,Register Request Details,trace_2
NONE,complete,2013-12-05 10:01:24.772000+00:00,Register Request Receiver,trace_2
NONE,complete,2013-12-05 11:01:24.772000+00:00,Finish Transaction Request Registration,trace_2
NONE,complete,2013-12-05 12:01:24.772000+00:00,Start Sender Authentification,trace_2
NONE,complete,2013-12-05 13:01:24.772000+00:00,Check Sender Personal ID,trace_2
NONE,complete,2013-12-05 14:01:24.772000+00:00,Request Bank ID,trace_2
NONE,complete,2013-12-05 15:01:24.772000+00:00,Generate Bank ID,trace_2
NONE,complete,2013-12-05 16:01:24.772000+00:00,Low Check Sender Historial,trace_2
NONE,complete,2013-12-05 17:01:24.772000+00:00,Low Check Sender Profile,trace_2
NONE,complete,2013-12-05 18:01:24.772000+00:00,Activate Bank ID,trace_2
NONE,complete,2013-12-05 19:01:24.772000+00:00,Register New Client,trace_2
NONE,complete,2013-12-05 20:01:24.772000+00:00,Finish Sender Authentification,trace_2
NONE,complete,2013-12-05 21:01:24.772000+00:00,SPV,trace_2
NONE,complete,2013-12-05 22:01:24.772000+00:00,Start Account Payment Processing,trace_2
NONE,complete,2013-12-05 23:01:24.772000+00:00,Start Account Verification,trace_2
NONE,complete,2013-12-06 00:01:24.772000+00:00,Bank Account Verification,trace_2
NONE,complete,2013-12-06 01:01:24.772000+00:00,Authorities Account Verification,trace_2
NONE,complete,2013-12-06 02:01:24.772000+00:00,Request Account Payment,trace_2
NONE,complete,2013-12-06 03:01:24.772000+00:00,Check Account Payment Request,trace_2
NONE,complete,2013-12-06 04:01:24.772000+00:00,Update Request Account Payment,trace_2
NONE,complete,2013-12-06 05:01:24.772000+00:00,Finish Account Verification,trace_2
NONE,complete,2013-12-06 06:01:24.772000+00:00,Request Account Payment,trace_2
NONE,complete,2013-12-06 07:01:24.772000+00:00,Check Account Payment Request,trace_2
NONE,complete,2013-12-06 08:01:24.772000+00:00,Accept Request Account Payment,trace_2
NONE,complete,2013-12-06 09:01:24.772000+00:00,Process and Block Account Payment,trace_2
NONE,complete,2013-12-06 10:01:24.772000+00:00,Communicate Account Payment Authorities,trace_2
NONE,complete,2013-12-06 11:01:24.772000+00:00,ECPR,trace_2
NONE,complete,2013-12-06 12:01:24.772000+00:00,Register and Close Account Payment,trace_2
NONE,complete,2013-12-06 13:01:24.772000+00:00,Finish Account Payment Processing,trace_2
NONE,complete,2013-12-06 14:01:24.772000+00:00,Finish Payment Processing,trace_2
NONE,complete,2013-12-06 15:01:24.772000+00:00,Start Receiver Processing,trace_2
NONE,complete,2013-12-06 16:01:24.772000+00:00,Start Receiver Pre Profiling,trace_2
NONE,complete,2013-12-06 17:01:24.772000+00:00,Receiver Bank Profiling Checking,trace_2
NONE,complete,2013-12-06 18:01:24.772000+00:00,Receiver External Profiling Checking,trace_2
NONE,complete,2013-12-06 19:01:24.772000+00:00,Receiver Inter-Bank Profiling Checking,trace_2
NONE,complete,2013-12-06 20:01:24.772000+00:00,Finish Receiver Pre Profiling,trace_2
NONE,complete,2013-12-06 21:01:24.772000+00:00,Request Extra Pre Profiling,trace_2
NONE,complete,2013-12-06 22:01:24.772000+00:00,Start Receiver Pre Profiling,trace_2
NONE,complete,2013-12-06 23:01:24.772000+00:00,Receiver External Profiling Checking,trace_2
NONE,complete,2013-12-07 00:01:24.772000+00:00,Receiver Inter-Bank Profiling Checking,trace_2
NONE,complete,2013-12-07 01:01:24.772000+00:00,Receiver Bank Profiling Checking,trace_2
NONE,complete,2013-12-07 02:01:24.772000+00:00,Finish Receiver Pre Profiling,trace_2
NONE,complete,2013-12-07 03:01:24.772000+00:00,Request Extra Pre Profiling,trace_2
NONE,complete,2013-12-07 04:01:24.772000+00:00,Start Receiver Pre Profiling,trace_2
NONE,complete,2013-12-07 05:01:24.772000+00:00,Receiver Bank Profiling Checking,trace_2
NONE,complete,2013-12-07 06:01:24.772000+00:00,Receiver External Profiling Checking,trace_2
NONE,complete,2013-12-07 07:01:24.772000+00:00,Receiver Inter-Bank Profiling Checking,trace_2
NONE,complete,2013-12-07 08:01:24.772000+00:00,Finish Receiver Pre Profiling,trace_2
NONE,complete,2013-12-07 09:01:24.772000+00:00,Evaluate Pre Profiling,trace_2
NONE,complete,2013-12-07 10:01:24.772000+00:00,Start High Risk Receiver Processing,trace_2
NONE,complete,2013-12-07 11:01:24.772000+00:00,Start High Risk Receiver Profile Check,trace_2
NONE,complete,2013-12-07 12:01:24.772000+00:00,High Risk Historial Analysis,trace_2
NONE,complete,2013-12-07 13:01:24.772000+00:00,Automatic High Risk Receiver Profile Check,trace_2
NONE,complete,2013-12-07 14:01:24.772000+00:00,High Risk Receiver Authority Notification,trace_2
NONE,complete,2013-12-07 15:01:24.772000+00:00,Finish High Risk Receiver Profile Check,trace_2
NONE,complete,2013-12-07 16:01:24.772000+00:00,High Risk Receiver Register,trace_2
NONE,complete,2013-12-07 17:01:24.772000+00:00,Finish High Risk Receiver Processing,trace_2
NONE,complete,2013-12-07 18:01:24.772000+00:00,Finish Receiver Processing,trace_2
NONE,complete,2013-12-07 19:01:24.772000+00:00,Start Transfer Transaction,trace_2
NONE,complete,2013-12-07 20:01:24.772000+00:00,Start Internal Transfer,trace_2
NONE,complete,2013-12-07 21:01:24.772000+00:00,Check Internal Transfer,trace_2
NONE,complete,2013-12-07 22:01:24.772000+00:00,Register Internal Transfer,trace_2
NONE,complete,2013-12-07 23:01:24.772000+00:00,Finish Internal Transfer,trace_2
NONE,complete,2013-12-08 00:01:24.772000+00:00,Finish Transfer Transaction,trace_2
NONE,complete,2013-12-08 01:01:24.772000+00:00,Start Closing,trace_2
NONE,complete,2013-12-08 02:01:24.772000+00:00,Notify Authority Transfer Closing,trace_2
NONE,complete,2013-12-08 03:01:24.772000+00:00,Register Transfer Closing,trace_2
NONE,complete,2013-12-08 04:01:24.772000+00:00,Start Receipt Processing,trace_2
NONE,complete,2013-12-08 05:01:24.772000+00:00,Paper Receipt,trace_2
NONE,complete,2013-12-08 06:01:24.772000+00:00,Generate Paper Receipt,trace_2
NONE,complete,2013-12-08 07:01:24.772000+00:00,Finish Receipt Processing,trace_2
NONE,complete,2013-12-08 08:01:24.772000+00:00,Finish Closing,trace_2
NONE,complete,2013-12-08 09:01:24.772000+00:00,Finish Transaction,trace_2
NONE,complete,2013-12-08 10:01:24.772000+00:00,Start Transaction,trace_3
NONE,complete,2013-12-08 11:01:24.772000+00:00,Start Transaction Request Registration,trace_3
NONE,complete,2013-12-08 12:01:24.772000+00:00,Register Request Details,trace_3
NONE,complete,2013-12-08 13:01:24.772000+00:00,Register Request Receiver,trace_3
NONE,complete,2013-12-08 14:01:24.772000+00:00,Register Request Sender,trace_3
NONE,complete,2013-12-08 15:01:24.772000+00:00,Finish Transaction Request Registration,trace_3
NONE,complete,2013-12-08 16:01:24.772000+00:00,Start Sender Authentification,trace_3
NONE,complete,2013-12-08 17:01:24.772000+00:00,Check Sender Personal ID,trace_3
NONE,complete,2013-12-08 18:01:24.772000+00:00,Request Bank ID,trace_3
NONE,complete,2013-12-08 19:01:24.772000+00:00,Generate Bank ID,trace_3
NONE,complete,2013-12-08 20:01:24.772000+00:00,Low Check Sender Historial,trace_3
NONE,complete,2013-12-08 21:01:24.772000+00:00,Low Check Sender Profile,trace_3
NONE,complete,2013-12-08 22:01:24.772000+00:00,Activate Bank ID,trace_3
NONE,complete,2013-12-08 23:01:24.772000+00:00,Register New Client,trace_3
NONE,complete,2013-12-09 00:01:24.772000+00:00,Finish Sender Authentification,trace_3
NONE,complete,2013-12-09 01:01:24.772000+00:00,SPV,trace_3
NONE,complete,2013-12-09 02:01:24.772000+00:00,Start Cheque Payment Processing,trace_3
NONE,complete,2013-12-09 03:01:24.772000+00:00,Manual Cheque Authentification,trace_3
NONE,complete,2013-12-09 04:01:24.772000+00:00,Start Cheque Checking,trace_3
NONE,complete,2013-12-09 05:01:24.772000+00:00,Check Authority Cheque Serial Numbers,trace_3
NONE,complete,2013-12-09 06:01:24.772000+00:00,Check Inter-Bank Cheque Serial Numbers,trace_3
NONE,complete,2013-12-09 07:01:24.772000+00:00,Check Bank Cheque Serial Numbers,trace_3
NONE,complete,2013-12-09 08:01:24.772000+00:00,Finish Cheque Checking,trace_3
NONE,complete,2013-12-09 09:01:24.772000+00:00,Process Cheque,trace_3
NONE,complete,2013-12-09 10:01:24.772000+00:00,Emit Cheque Received Receipt,trace_3
NONE,complete,2013-12-09 11:01:24.772000+00:00,Register Cheque,trace_3
NONE,complete,2013-12-09 12:01:24.772000+00:00,Communicate Cheque Receipt Authorities,trace_3
NONE,complete,2013-12-09 13:01:24.772000+00:00,Finish Cheque Payment Processing,trace_3
NONE,complete,2013-12-09 14:01:24.772000+00:00,Finish Payment Processing,trace_3
NONE,complete,2013-12-09 15:01:24.772000+00:00,Start Receiver Processing,trace_3
NONE,complete,2013-12-09 16:01:24.772000+00:00,Start Receiver Pre Profiling,trace_3
NONE,complete,2013-12-09 17:01:24.772000+00:00,Receiver External Profiling Checking,trace_3
NONE,complete,2013-12-09 18:01:24.772000+00:00,Receiver Inter-Bank Profiling Checking,trace_3
NONE,complete,2013-12-09 19:01:24.772000+00:00,Receiver Bank Profiling Checking,trace_3
NONE,complete,2013-12-09 20:01:24.772000+00:00,Finish Receiver Pre Profiling,trace_3
NONE,complete,2013-12-09 21:01:24.772000+00:00,Evaluate Pre Profiling,trace_3
NONE,complete,2013-12-09 22:01:24.772000+00:00,Start Low Risk Receiver Processing,trace_3
NONE,complete,2013-12-09 23:01:24.772000+00:00,Low Risk External Receiver Verification,trace_3
NONE,complete,2013-12-10 00:01:24.772000+00:00,Low Risk Internal Receiver Verification,trace_3
NONE,complete,2013-12-10 01:01:24.772000+00:00,Low Risk Receiver Register,trace_3
NONE,complete,2013-12-10 02:01:24.772000+00:00,Finish Low Risk Receiver Processing,trace_3
NONE,complete,2013-12-10 03:01:24.772000+00:00,Finish Receiver Processing,trace_3
NONE,complete,2013-12-10 04:01:24.772000+00:00,Start Transfer Transaction,trace_3
NONE,complete,2013-12-10 05:01:24.772000+00:00,Start Internal Transfer,trace_3
NONE,complete,2013-12-10 06:01:24.772000+00:00,Check Internal Transfer,trace_3
NONE,complete,2013-12-10 07:01:24.772000+00:00,Register Internal Transfer,trace_3
NONE,complete,2013-12-10 08:01:24.772000+00:00,Finish Internal Transfer,trace_3
NONE,complete,2013-12-10 09:01:24.772000+00:00,Finish Transfer Transaction,trace_3
NONE,complete,2013-12-10 10:01:24.772000+00:00,Start Closing,trace_3
NONE,complete,2013-12-10 11:01:24.772000+00:00,Notify Authority Transfer Closing,trace_3
NONE,complete,2013-12-10 12:01:24.772000+00:00,Register Transfer Closing,trace_3
NONE,complete,2013-12-10 13:01:24.772000+00:00,Start Receipt Processing,trace_3
NONE,complete,2013-12-10 14:01:24.772000+00:00,Report and Annotate Transfer Closing,trace_3
NONE,complete,2013-12-10 15:01:24.772000+00:00,Paper Receipt,trace_3
NONE,complete,2013-12-10 16:01:24.772000+00:00,Generate Paper Receipt,trace_3
NONE,complete,2013-12-10 17:01:24.772000+00:00,Finish Receipt Processing,trace_3
NONE,complete,2013-12-10 18:01:24.772000+00:00,Finish Closing,trace_3
NONE,complete,2013-12-10 19:01:24.772000+00:00,Finish Transaction,trace_3
NONE,complete,2013-12-10 20:01:24.772000+00:00,Start Transaction,trace_4
NONE,complete,2013-12-10 21:01:24.772000+00:00,Start Transaction Request Registration,trace_4
NONE,complete,2013-12-10 22:01:24.772000+00:00,Register Request Receiver,trace_4
NONE,complete,2013-12-10 23:01:24.772000+00:00,Register Request Details,trace_4
NONE,complete,2013-12-11 00:01:24.772000+00:00,Register Request Sender,trace_4
NONE,complete,2013-12-11 01:01:24.772000+00:00,Finish Transaction Request Registration,trace_4
NONE,complete,2013-12-11 02:01:24.772000+00:00,Start Sender Authentification,trace_4
NONE,complete,2013-12-11 03:01:24.772000+00:00,Check Sender Bank ID,trace_4
NONE,complete,2013-12-11 04:01:24.772000+00:00,Register Old Client,trace_4
NONE,complete,2013-12-11 05:01:24.772000+00:00,Finish Sender Authentification,trace_4
NONE,complete,2013-12-11 06:01:24.772000+00:00,SPV,trace_4
NONE,complete,2013-12-11 07:01:24.772000+00:00,Start Account Payment Processing,trace_4
NONE,complete,2013-12-11 08:01:24.772000+00:00,Start Account Verification,trace_4
NONE,complete,2013-12-11 09:01:24.772000+00:00,Bank Account Verification,trace_4
NONE,complete,2013-12-11 10:01:24.772000+00:00,Request Account Payment,trace_4
NONE,complete,2013-12-11 11:01:24.772000+00:00,Authorities Account Verification,trace_4
NONE,complete,2013-12-11 12:01:24.772000+00:00,Finish Account Verification,trace_4
NONE,complete,2013-12-11 13:01:24.772000+00:00,Check Account Payment Request,trace_4
NONE,complete,2013-12-11 14:01:24.772000+00:00,Accept Request Account Payment,trace_4
NONE,complete,2013-12-11 15:01:24.772000+00:00,Process and Block Account Payment,trace_4
NONE,complete,2013-12-11 16:01:24.772000+00:00,Communicate Account Payment Authorities,trace_4
NONE,complete,2013-12-11 17:01:24.772000+00:00,ECPR,trace_4
NONE,complete,2013-12-11 18:01:24.772000+00:00,Register and Close Account Payment,trace_4
NONE,complete,2013-12-11 19:01:24.772000+00:00,Finish Account Payment Processing,trace_4
NONE,complete,2013-12-11 20:01:24.772000+00:00,Finish Payment Processing,trace_4
NONE,complete,2013-12-11 21:01:24.772000+00:00,Start Receiver Processing,trace_4
NONE,complete,2013-12-11 22:01:24.772000+00:00,Start Receiver Pre Profiling,trace_4
NONE,complete,2013-12-11 23:01:24.772000+00:00,Receiver External Profiling Checking,trace_4
NONE,complete,2013-12-12 00:01:24.772000+00:00,Receiver Inter-Bank Profiling Checking,trace_4
NONE,complete,2013-12-12 01:01:24.772000+00:00,Receiver Bank Profiling Checking,trace_4
NONE,complete,2013-12-12 02:01:24.772000+00:00,Finish Receiver Pre Profiling,trace_4
NONE,complete,2013-12-12 03:01:24.772000+00:00,Evaluate Pre Profiling,trace_4
NONE,complete,2013-12-12 04:01:24.772000+00:00,Start Low Risk Receiver Processing,trace_4
NONE,complete,2013-12-12 05:01:24.772000+00:00,Low Risk Internal Receiver Verification,trace_4
NONE,complete,2013-12-12 06:01:24.772000+00:00,Low Risk External Receiver Verification,trace_4
NONE,complete,2013-12-12 07:01:24.772000+00:00,Low Risk Receiver Register,trace_4
NONE,complete,2013-12-12 08:01:24.772000+00:00,Finish Low Risk Receiver Processing,trace_4
NONE,complete,2013-12-12 09:01:24.772000+00:00,Finish Receiver Processing,trace_4
NONE,complete,2013-12-12 10:01:24.772000+00:00,Start Transfer Transaction,trace_4
NONE,complete,2013-12-12 11:01:24.772000+00:00,Start Internal Transfer,trace_4
NONE,complete,2013-12-12 12:01:24.772000+00:00,Check Internal Transfer,trace_4
NONE,complete,2013-12-12 13:01:24.772000+00:00,Restart Internal Transfer,trace_4
NONE,complete,2013-12-12 14:01:24.772000+00:00,Check Internal Transfer,trace_4
NONE,complete,2013-12-12 15:01:24.772000+00:00,Restart Internal Transfer,trace_4
NONE,complete,2013-12-12 16:01:24.772000+00:00,Check Internal Transfer,trace_4
NONE,complete,2013-12-12 17:01:24.772000+00:00,Register Internal Transfer,trace_4
NONE,complete,2013-12-12 18:01:24.772000+00:00,Finish Internal Transfer,trace_4
NONE,complete,2013-12-12 19:01:24.772000+00:00,Finish Transfer Transaction,trace_4
NONE,complete,2013-12-12 20:01:24.772000+00:00,Start Closing,trace_4
NONE,complete,2013-12-12 21:01:24.772000+00:00,Register Transfer Closing,trace_4
NONE,complete,2013-12-12 22:01:24.772000+00:00,Start Receipt Processing,trace_4
NONE,complete,2013-12-12 23:01:24.772000+00:00,Paper Receipt,trace_4
NONE,complete,2013-12-13 00:01:24.772000+00:00,Notify Authority Transfer Closing,trace_4
NONE,complete,2013-12-13 01:01:24.772000+00:00,Generate Paper Receipt,trace_4
NONE,complete,2013-12-13 02:01:24.772000+00:00,Finish Receipt Processing,trace_4
NONE,complete,2013-12-13 03:01:24.772000+00:00,Finish Closing,trace_4
NONE,complete,2013-12-13 04:01:24.772000+00:00,Finish Transaction,trace_4
NONE,complete,2013-12-13 05:01:24.772000+00:00,Start Transaction,trace_5
NONE,complete,2013-12-13 06:01:24.772000+00:00,Start Transaction Request Registration,trace_5
NONE,complete,2013-12-13 07:01:24.772000+00:00,Register Request Receiver,trace_5
